City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
320,Kvam,NO,61.6656,9.6898,49.57,53,39,8.59,scattered clouds
321,Jaru,BR,-10.4389,-62.4664,74.97,86,99,3.53,overcast clouds
322,Mitsamiouli,KM,-11.3847,43.2844,82.69,69,40,12.66,scattered clouds
323,Blagoveshchenka,RU,52.8333,79.8667,62.26,29,77,11.03,broken clouds
324,Primorsk,UA,46.7348,36.3443,66.85,49,100,22.79,overcast clouds
325,Diffa,NE,13.3154,12.6113,99.93,15,72,9.84,broken clouds
326,Otukpo,NG,7.1913,8.1329,81.99,72,96,1.88,overcast clouds
327,Mayumba,GA,-3.432,10.6554,79.54,78,60,7.43,light rain
328,Viedma,AR,-40.8135,-62.9967,48.18,62,91,30.0,overcast clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,93,100,12.66,overcast clouds
330,Kargopol,RU,61.5071,38.9456,51.4,69,100,12.03,overcast clouds
331,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.35,44,16,2.89,few clouds
332,Grindavik,IS,63.8424,-22.4338,48.67,71,40,14.97,light rain
333,Tripoli,LY,32.8752,13.1875,77.49,48,0,5.39,clear sky
334,Kiruna,SE,67.8557,20.2251,43.72,65,75,14.97,broken clouds
335,Karpogory,RU,64.0019,44.4451,50.16,85,100,12.48,overcast clouds
336,Eirunepe,BR,-6.6603,-69.8736,75.56,83,84,3.96,moderate rain
337,Sept-Iles,CA,50.2001,-66.3821,41.43,87,75,13.8,broken clouds
338,West Lafayette,US,40.4259,-86.9081,33.22,94,75,0.0,mist
339,Teguldet,RU,57.3064,88.1667,44.38,69,100,8.05,overcast clouds
340,Mwanza,TZ,-2.5167,32.9,84.25,39,40,17.27,scattered clouds
341,Kavaratti,IN,10.5669,72.642,81.63,74,12,12.84,few clouds
